period,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
Feb-Apr 1977,41697000.0,26238000.0,24801000.0,1437000.0,15459000.0,62.9,59.5,5.5,37.1,33990000.0,25798000.0,24375000.0,1423000.0,8192000.0,75.9,71.7,5.5,24.1
Mar-May 1977,41720000.0,26240000.0,24799000.0,1441000.0,15480000.0,62.9,59.4,5.5,37.1,34004000.0,25803000.0,24377000.0,1426000.0,8201000.0,75.9,71.7,5.5,24.1
Apr-Jun 1977,41743000.0,26254000.0,24802000.0,1452000.0,15489000.0,62.9,59.4,5.5,37.1,34018000.0,25811000.0,24374000.0,1438000.0,8206000.0,75.9,71.6,5.6,24.1
May-Jul 1977,41766000.0,26267000.0,24800000.0,1467000.0,15499000.0,62.9,59.4,5.6,37.1,34032000.0,25823000.0,24371000.0,1452000.0,8208000.0,75.9,71.6,5.6,24.1
Jun-Aug 1977,41789000.0,26285000.0,24804000.0,1481000.0,15504000.0,62.9,59.4,5.6,37.1,34042000.0,25840000.0,24373000.0,1466000.0,8203000.0,75.9,71.6,5.7,24.1
Jul-Sep 1977,41813000.0,26302000.0,24809000.0,1493000.0,15511000.0,62.9,59.3,5.7,37.1,34057000.0,25859000.0,24381000.0,1478000.0,8197000.0,75.9,71.6,5.7,24.1
Aug-Oct 1977,41837000.0,26312000.0,24813000.0,1498000.0,15526000.0,62.9,59.3,5.7,37.1,34071000.0,25862000.0,24379000.0,1483000.0,8209000.0,75.9,71.6,5.7,24.1
Sep-Nov 1977,41862000.0,26319000.0,24818000.0,1502000.0,15542000.0,62.9,59.3,5.7,37.1,34085000.0,25868000.0,24381000.0,1487000.0,8217000.0,75.9,71.5,5.7,24.1
Oct-Dec 1977,41886000.0,26321000.0,24822000.0,1499000.0,15565000.0,62.8,59.3,5.7,37.2,34099000.0,25868000.0,24384000.0,1484000.0,8231000.0,75.9,71.5,5.7,24.1
Nov-Jan 1978,41910000.0,26326000.0,24833000.0,1493000.0,15584000.0,62.8,59.3,5.7,37.2,34113000.0,25871000.0,24393000.0,1478000.0,8242000.0,75.8,71.5,5.7,24.2
Dec-Feb 1978,41934000.0,26328000.0,24844000.0,1484000.0,15606000.0,62.8,59.2,5.6,37.2,34127000.0,25876000.0,24408000.0,1469000.0,8251000.0,75.8,71.5,5.7,24.2
Jan-Mar 1978,41958000.0,26336000.0,24862000.0,1474000.0,15622000.0,62.8,59.3,5.6,37.2,34141000.0,25877000.0,24418000.0,1459000.0,8264000.0,75.8,71.5,5.6,24.2
Feb-Apr 1978,41982000.0,26343000.0,24874000.0,1469000.0,15639000.0,62.7,59.3,5.6,37.3,34155000.0,25882000.0,24429000.0,1454000.0,8273000.0,75.8,71.5,5.6,24.2
Mar-May 1978,42006000.0,26352000.0,24886000.0,1466000.0,15654000.0,62.7,59.2,5.6,37.3,34170000.0,25890000.0,24439000.0,1451000.0,8280000.0,75.8,71.5,5.6,24.2
Apr-Jun 1978,42030000.0,26360000.0,24897000.0,1463000.0,15670000.0,62.7,59.2,5.6,37.3,34184000.0,25892000.0,24444000.0,1448000.0,8292000.0,75.7,71.5,5.6,24.3
May-Jul 1978,42054000.0,26367000.0,24908000.0,1459000.0,15687000.0,62.7,59.2,5.5,37.3,34198000.0,25896000.0,24453000.0,1443000.0,8302000.0,75.7,71.5,5.6,24.3
Jun-Aug 1978,42079000.0,26378000.0,24919000.0,1459000.0,15701000.0,62.7,59.2,5.5,37.3,34213000.0,25910000.0,24467000.0,1443000.0,8302000.0,75.7,71.5,5.6,24.3
Jul-Sep 1978,42105000.0,26396000.0,24941000.0,1455000.0,15709000.0,62.7,59.2,5.5,37.3,34230000.0,25927000.0,24488000.0,1439000.0,8303000.0,75.7,71.5,5.6,24.3
Aug-Oct 1978,42132000.0,26425000.0,24975000.0,1449000.0,15708000.0,62.7,59.3,5.5,37.3,34248000.0,25949000.0,24516000.0,1433000.0,8298000.0,75.8,71.6,5.5,24.2
Sep-Nov 1978,42159000.0,26452000.0,25017000.0,1435000.0,15708000.0,62.7,59.3,5.4,37.3,34266000.0,25970000.0,24551000.0,1419000.0,8296000.0,75.8,71.6,5.5,24.2
Oct-Dec 1978,42186000.0,26480000.0,25059000.0,1421000.0,15706000.0,62.8,59.4,5.4,37.2,34283000.0,25991000.0,24586000.0,1405000.0,8292000.0,75.8,71.7,5.4,24.2
Nov-Jan 1979,42213000.0,26501000.0,25087000.0,1413000.0,15713000.0,62.8,59.4,5.3,37.2,34301000.0,26014000.0,24618000.0,1396000.0,8286000.0,75.8,71.8,5.4,24.2
Dec-Feb 1979,42240000.0,26523000.0,25106000.0,1417000.0,15718000.0,62.8,59.4,5.3,37.2,34319000.0,26030000.0,24631000.0,1399000.0,8288000.0,75.8,71.8,5.4,24.2
Jan-Mar 1979,42267000.0,26533000.0,25113000.0,1420000.0,15734000.0,62.8,59.4,5.4,37.2,34336000.0,26039000.0,24637000.0,1403000.0,8297000.0,75.8,71.8,5.4,24.2
Feb-Apr 1979,42294000.0,26535000.0,25121000.0,1414000.0,15759000.0,62.7,59.4,5.3,37.3,34354000.0,26036000.0,24638000.0,1397000.0,8318000.0,75.8,71.7,5.4,24.2
Mar-May 1979,42321000.0,26541000.0,25136000.0,1405000.0,15780000.0,62.7,59.4,5.3,37.3,34372000.0,26043000.0,24655000.0,1388000.0,8329000.0,75.8,71.7,5.3,24.2
Apr-Jun 1979,42348000.0,26565000.0,25159000.0,1405000.0,15783000.0,62.7,59.4,5.3,37.3,34389000.0,26062000.0,24674000.0,1388000.0,8327000.0,75.8,71.7,5.3,24.2
May-Jul 1979,42375000.0,26602000.0,25186000.0,1415000.0,15773000.0,62.8,59.4,5.3,37.2,34407000.0,26092000.0,24694000.0,1398000.0,8315000.0,75.8,71.8,5.4,24.2
Jun-Aug 1979,42402000.0,26633000.0,25211000.0,1422000.0,15769000.0,62.8,59.5,5.3,37.2,34435000.0,26118000.0,24713000.0,1405000.0,8318000.0,75.8,71.8,5.4,24.2
Jul-Sep 1979,42432000.0,26659000.0,25229000.0,1430000.0,15773000.0,62.8,59.5,5.4,37.2,34456000.0,26139000.0,24726000.0,1412000.0,8317000.0,75.9,71.8,5.4,24.1
Aug-Oct 1979,42462000.0,26689000.0,25248000.0,1441000.0,15772000.0,62.9,59.5,5.4,37.1,34476000.0,26163000.0,24739000.0,1424000.0,8313000.0,75.9,71.8,5.4,24.1
Sep-Nov 1979,42491000.0,26718000.0,25265000.0,1453000.0,15773000.0,62.9,59.5,5.4,37.1,34497000.0,26191000.0,24754000.0,1437000.0,8306000.0,75.9,71.8,5.5,24.1
Oct-Dec 1979,42521000.0,26750000.0,25280000.0,1471000.0,15770000.0,62.9,59.5,5.5,37.1,34518000.0,26213000.0,24759000.0,1454000.0,8304000.0,75.9,71.7,5.5,24.1
Nov-Jan 1980,42551000.0,26769000.0,25280000.0,1490000.0,15781000.0,62.9,59.4,5.6,37.1,34538000.0,26230000.0,24756000.0,1474000.0,8308000.0,75.9,71.7,5.6,24.1
Dec-Feb 1980,42580000.0,26791000.0,25270000.0,1521000.0,15789000.0,62.9,59.3,5.7,37.1,34559000.0,26250000.0,24744000.0,1506000.0,8308000.0,76.0,71.6,5.7,24.0
Jan-Mar 1980,42610000.0,26808000.0,25250000.0,1558000.0,15802000.0,62.9,59.3,5.8,37.1,34579000.0,26273000.0,24730000.0,1543000.0,8307000.0,76.0,71.5,5.9,24.0
Feb-Apr 1980,42639000.0,26837000.0,25235000.0,1603000.0,15802000.0,62.9,59.2,6.0,37.1,34600000.0,26293000.0,24706000.0,1587000.0,8307000.0,76.0,71.4,6.0,24.0
Mar-May 1980,42669000.0,26863000.0,25215000.0,1648000.0,15806000.0,63.0,59.1,6.1,37.0,34620000.0,26321000.0,24687000.0,1633000.0,8300000.0,76.0,71.3,6.2,24.0
Apr-Jun 1980,42699000.0,26890000.0,25190000.0,1700000.0,15809000.0,63.0,59.0,6.3,37.0,34641000.0,26345000.0,24659000.0,1686000.0,8296000.0,76.1,71.2,6.4,23.9
May-Jul 1980,42728000.0,26916000.0,25160000.0,1756000.0,15812000.0,63.0,58.9,6.5,37.0,34662000.0,26371000.0,24629000.0,1741000.0,8291000.0,76.1,71.1,6.6,23.9
Jun-Aug 1980,42758000.0,26938000.0,25110000.0,1828000.0,15820000.0,63.0,58.7,6.8,37.0,34683000.0,26396000.0,24583000.0,1814000.0,8286000.0,76.1,70.9,6.9,23.9
Jul-Sep 1980,42784000.0,26955000.0,25050000.0,1905000.0,15829000.0,63.0,58.5,7.1,37.0,34704000.0,26409000.0,24518000.0,1891000.0,8294000.0,76.1,70.7,7.2,23.9
Aug-Oct 1980,42810000.0,26974000.0,24985000.0,1989000.0,15836000.0,63.0,58.4,7.4,37.0,34725000.0,26424000.0,24449000.0,1975000.0,8301000.0,76.1,70.4,7.5,23.9
Sep-Nov 1980,42836000.0,26992000.0,24915000.0,2077000.0,15844000.0,63.0,58.2,7.7,37.0,34746000.0,26448000.0,24385000.0,2063000.0,8298000.0,76.1,70.2,7.8,23.9
Oct-Dec 1980,42862000.0,27024000.0,24855000.0,2169000.0,15837000.0,63.1,58.0,8.0,36.9,34767000.0,26471000.0,24316000.0,2155000.0,8296000.0,76.1,69.9,8.1,23.9
Nov-Jan 1981,42888000.0,27040000.0,24785000.0,2255000.0,15847000.0,63.0,57.8,8.3,37.0,34788000.0,26499000.0,24257000.0,2242000.0,8289000.0,76.2,69.7,8.5,23.8
Dec-Feb 1981,42914000.0,27050000.0,24720000.0,2330000.0,15863000.0,63.0,57.6,8.6,37.0,34809000.0,26510000.0,24193000.0,2317000.0,8299000.0,76.2,69.5,8.7,23.8
Jan-Mar 1981,42940000.0,27063000.0,24661000.0,2403000.0,15876000.0,63.0,57.4,8.9,37.0,34830000.0,26525000.0,24135000.0,2390000.0,8306000.0,76.2,69.3,9.0,23.8
Feb-Apr 1981,42965000.0,27082000.0,24606000.0,2476000.0,15883000.0,63.0,57.3,9.1,37.0,34851000.0,26538000.0,24076000.0,2462000.0,8313000.0,76.1,69.1,9.3,23.9
Mar-May 1981,42991000.0,27093000.0,24549000.0,2544000.0,15898000.0,63.0,57.1,9.4,37.0,34873000.0,26553000.0,24022000.0,2530000.0,8320000.0,76.1,68.9,9.5,23.9
Apr-Jun 1981,43017000.0,27082000.0,24495000.0,2588000.0,15935000.0,63.0,56.9,9.6,37.0,34894000.0,26545000.0,23971000.0,2574000.0,8348000.0,76.1,68.7,9.7,23.9
May-Jul 1981,43043000.0,27068000.0,24444000.0,2624000.0,15975000.0,62.9,56.8,9.7,37.1,34915000.0,26531000.0,23920000.0,2611000.0,8384000.0,76.0,68.5,9.8,24.0
Jun-Aug 1981,43069000.0,27053000.0,24398000.0,2654000.0,16016000.0,62.8,56.6,9.8,37.2,34936000.0,26522000.0,23881000.0,2641000.0,8414000.0,75.9,68.4,10.0,24.1
